AlarmName	NodeId	Severity	PlcSymbolPath	Description
TLS_M3_MAL_Alarm_051	ns=2;s=TLS_M3_MAL_Alarm[51]	Medium	GVL.TLS_M3_MAL_Alarm[51]	Alarm 051
TLS_M3_MAL_Alarm_052	ns=2;s=TLS_M3_MAL_Alarm[52]	Medium	GVL.TLS_M3_MAL_Alarm[52]	GR05-01 Overload, ST1P vertical brush motor
TLS_M3_MAL_Alarm_053	ns=2;s=TLS_M3_MAL_Alarm[53]	Medium	GVL.TLS_M3_MAL_Alarm[53]	Alarm 053
TLS_M3_MAL_Alarm_054	ns=2;s=TLS_M3_MAL_Alarm[54]	Medium	GVL.TLS_M3_MAL_Alarm[54]	Alarm 054
TLS_M3_MAL_Alarm_055	ns=2;s=TLS_M3_MAL_Alarm[55]	Medium	GVL.TLS_M3_MAL_Alarm[55]	GR05-06 Overload, STR horizontal brush motor
TLS_M3_MAL_Alarm_056	ns=2;s=TLS_M3_MAL_Alarm[56]	Medium	GVL.TLS_M3_MAL_Alarm[56]	Alarm 056
TLS_M3_MAL_Alarm_057	ns=2;s=TLS_M3_MAL_Alarm[57]	Medium	GVL.TLS_M3_MAL_Alarm[57]	Alarm 057
TLS_M3_MAL_Alarm_058	ns=2;s=TLS_M3_MAL_Alarm[58]	Medium	GVL.TLS_M3_MAL_Alarm[58]	GR05-40 Overload, ATM horizontal brush motor
TLS_M3_MAL_Alarm_059	ns=2;s=TLS_M3_MAL_Alarm[59]	Medium	GVL.TLS_M3_MAL_Alarm[59]	Alarm 059
TLS_M3_MAL_Alarm_060	ns=2;s=TLS_M3_MAL_Alarm[60]	Medium	GVL.TLS_M3_MAL_Alarm[60]	Alarm 060
TLS_M3_MAL_Alarm_061	ns=2;s=TLS_M3_MAL_Alarm[61]	Medium	GVL.TLS_M3_MAL_Alarm[61]	GR05-46 Overload, STR8 Roof brush motor
TLS_M3_MAL_Alarm_062	ns=2;s=TLS_M3_MAL_Alarm[62]	Medium	GVL.TLS_M3_MAL_Alarm[62]	Alarm 062
TLS_M3_MAL_Alarm_063	ns=2;s=TLS_M3_MAL_Alarm[63]	Medium	GVL.TLS_M3_MAL_Alarm[63]	Alarm 063
TLS_M3_MAL_Alarm_064	ns=2;s=TLS_M3_MAL_Alarm[64]	Medium	GVL.TLS_M3_MAL_Alarm[64]	GR05-46 Overload, STR Movable brush motor
TLS_M3_MAL_Alarm_065	ns=2;s=TLS_M3_MAL_Alarm[65]	Medium	GVL.TLS_M3_MAL_Alarm[65]	Alarm 065
TLS_M3_MAL_Alarm_066	ns=2;s=TLS_M3_MAL_Alarm[66]	Medium	GVL.TLS_M3_MAL_Alarm[66]	Alarm 066
TLS_M3_MAL_Alarm_067	ns=2;s=TLS_M3_MAL_Alarm[67]	Medium	GVL.TLS_M3_MAL_Alarm[67]	Alarm 067
TLS_M3_MAL_Alarm_068	ns=2;s=TLS_M3_MAL_Alarm[68]	Medium	GVL.TLS_M3_MAL_Alarm[68]	Alarm 068
TLS_M3_MAL_Alarm_069	ns=2;s=TLS_M3_MAL_Alarm[69]	Medium	GVL.TLS_M3_MAL_Alarm[69]	ALARM, door or profile latch
TLS_M3_MAL_Alarm_070	ns=2;s=TLS_M3_MAL_Alarm[70]	Medium	GVL.TLS_M3_MAL_Alarm[70]	Alarm 070
TLS_M3_MAL_Alarm_071	ns=2;s=TLS_M3_MAL_Alarm[71]	Medium	GVL.TLS_M3_MAL_Alarm[71]	Alarm 071
TLS_M3_MAL_Alarm_072	ns=2;s=TLS_M3_MAL_Alarm[72]	Medium	GVL.TLS_M3_MAL_Alarm[72]	Alarm 072
TLS_M3_MAL_Alarm_073	ns=2;s=TLS_M3_MAL_Alarm[73]	Medium	GVL.TLS_M3_MAL_Alarm[73]	Alarm 073
TLS_M3_MAL_Alarm_074	ns=2;s=TLS_M3_MAL_Alarm[74]	Medium	GVL.TLS_M3_MAL_Alarm[74]	ALARM, Riser not found
TLS_M3_MAL_Alarm_075	ns=2;s=TLS_M3_MAL_Alarm[75]	Medium	GVL.TLS_M3_MAL_Alarm[75]	ALARM, Configuration conflict: set type of washing without thermal/new horizontal brush
TLS_M3_MAL_Alarm_076	ns=2;s=TLS_M3_MAL_Alarm[76]	Medium	GVL.TLS_M3_MAL_Alarm[76]	Alarm 076
TLS_M3_MAL_Alarm_077	ns=2;s=TLS_M3_MAL_Alarm[77]	Medium	GVL.TLS_M3_MAL_Alarm[77]	Alarm 077
TLS_M3_MAL_Alarm_078	ns=2;s=TLS_M3_MAL_Alarm[78]	Medium	GVL.TLS_M3_MAL_Alarm[78]	Alarm 078
TLS_M3_MAL_Alarm_079	ns=2;s=TLS_M3_MAL_Alarm[79]	Medium	GVL.TLS_M3_MAL_Alarm[79]	Alarm 079
TLS_M3_MAL_Alarm_080	ns=2;s=TLS_M3_MAL_Alarm[80]	Medium	GVL.TLS_M3_MAL_Alarm[80]	Alarm 080
TLS_M3_MAL_Alarm_081	ns=2;s=TLS_M3_MAL_Alarm[81]	Medium	GVL.TLS_M3_MAL_Alarm[81]	Alarm 081
TLS_M3_MAL_Alarm_082	ns=2;s=TLS_M3_MAL_Alarm[82]	Medium	GVL.TLS_M3_MAL_Alarm[82]	Alarm 082
TLS_M3_MAL_Alarm_083	ns=2;s=TLS_M3_MAL_Alarm[83]	Medium	GVL.TLS_M3_MAL_Alarm[83]	Alarm 083
TLS_M3_MAL_Alarm_084	ns=2;s=TLS_M3_MAL_Alarm[84]	Medium	GVL.TLS_M3_MAL_Alarm[84]	Alarm 084
TLS_M3_MAL_Alarm_085	ns=2;s=TLS_M3_MAL_Alarm[85]	Medium	GVL.TLS_M3_MAL_Alarm[85]	Alarm 085
TLS_M3_MAL_Alarm_086	ns=2;s=TLS_M3_MAL_Alarm[86]	Medium	GVL.TLS_M3_MAL_Alarm[86]	Alarm 086
TLS_M3_MAL_Alarm_087	ns=2;s=TLS_M3_MAL_Alarm[87]	Medium	GVL.TLS_M3_MAL_Alarm[87]	Alarm 087
TLS_M3_MAL_Alarm_088	ns=2;s=TLS_M3_MAL_Alarm[88]	Medium	GVL.TLS_M3_MAL_Alarm[88]	Alarm 088
TLS_M3_MAL_Alarm_089	ns=2;s=TLS_M3_MAL_Alarm[89]	Medium	GVL.TLS_M3_MAL_Alarm[89]	Alarm 089
TLS_M3_MAL_Alarm_090	ns=2;s=TLS_M3_MAL_Alarm[90]	Medium	GVL.TLS_M3_MAL_Alarm[90]	Alarm 090
TLS_M3_MAL_Alarm_091	ns=2;s=TLS_M3_MAL_Alarm[91]	Medium	GVL.TLS_M3_MAL_Alarm[91]	Alarm 091
TLS_M3_MAL_Alarm_092	ns=2;s=TLS_M3_MAL_Alarm[92]	Medium	GVL.TLS_M3_MAL_Alarm[92]	Alarm 092
TLS_M3_MAL_Alarm_093	ns=2;s=TLS_M3_MAL_Alarm[93]	Medium	GVL.TLS_M3_MAL_Alarm[93]	Alarm 093
TLS_M3_MAL_Alarm_094	ns=2;s=TLS_M3_MAL_Alarm[94]	Medium	GVL.TLS_M3_MAL_Alarm[94]	Alarm 094
TLS_M3_MAL_Alarm_095	ns=2;s=TLS_M3_MAL_Alarm[95]	Medium	GVL.TLS_M3_MAL_Alarm[95]	Alarm 095
TLS_M3_MAL_Alarm_096	ns=2;s=TLS_M3_MAL_Alarm[96]	Medium	GVL.TLS_M3_MAL_Alarm[96]	Alarm 096
TLS_M3_MAL_Alarm_097	ns=2;s=TLS_M3_MAL_Alarm[97]	Medium	GVL.TLS_M3_MAL_Alarm[97]	Alarm 097
TLS_M3_MAL_Alarm_098	ns=2;s=TLS_M3_MAL_Alarm[98]	Medium	GVL.TLS_M3_MAL_Alarm[98]	Alarm 098
TLS_M3_MAL_Alarm_099	ns=2;s=TLS_M3_MAL_Alarm[99]	Medium	GVL.TLS_M3_MAL_Alarm[99]	Alarm 099
TLS_M3_MAL_Alarm_100	ns=2;s=TLS_M3_MAL_Alarm[100]	Medium	GVL.TLS_M3_MAL_Alarm[100]	ALARM, Right trolley, Alarm horizontal brush tube T100-48
TLS_M3_MAL_Alarm_101	ns=2;s=TLS_M3_MAL_Alarm[101]	Medium	GVL.TLS_M3_MAL_Alarm[101]	ALARM, Right trolley, Vibrate on carr STL
TLS_M3_MAL_Alarm_102	ns=2;s=TLS_M3_MAL_Alarm[102]	Medium	GVL.TLS_M3_MAL_Alarm[102]	ALARM, Right trolley, OBSTACLE(S) on GRIN 01
TLS_M3_MAL_Alarm_103	ns=2;s=TLS_M3_MAL_Alarm[103]	Medium	GVL.TLS_M3_MAL_Alarm[103]	ALARM, Right trolley, OBSTACLE(S) on GRIN 02
TLS_M3_MAL_Alarm_104	ns=2;s=TLS_M3_MAL_Alarm[104]	Medium	GVL.TLS_M3_MAL_Alarm[104]	ALARM, Right trolley, Minimal bay upstream activated
TLS_M3_MAL_Alarm_105	ns=2;s=TLS_M3_MAL_Alarm[105]	Medium	GVL.TLS_M3_MAL_Alarm[105]	ALARM, Right trolley, Horizontal brush not in home position
TLS_M3_MAL_Alarm_106	ns=2;s=TLS_M3_MAL_Alarm[106]	Medium	GVL.TLS_M3_MAL_Alarm[106]	ALARM, Right trolley, Brushes position board faulty
